timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084945748,-403999618,1803228188,141,79,220579,18,0,2183,7.8588,7.634753397,2495,0,,25,141
1084945751,-404000122,1803227653,143,78,221206,18,64,2174,7.8264,7.666360012,2495,881,,25,143
1084945760,-404001595,1803225588,144,78,223319,18,64,2183,7.8588,7.634753397,2497,0,,57,144
1084945761,-404001701,1803225353,143,78,223526,18,64,2193,7.8948,7.5999392,2497,0,,57,143
1084945767,-404002659,1803224342,142,77,224757,18,64,2193,7.8948,7.5999392,2499,0,,44,142
1084945776,-404004779,1803223922,144,78,226782,18,64,2193,7.8948,7.5999392,2500,0,,18,144
1084945777,-404005015,1803223984,144,79,227007,18,0,2193,7.8948,7.5999392,2501,0,,18,144
1084945781,-404005991,1803224250,145,78,227938,18,0,2193,7.8948,7.5999392,2506,0,,12,145
1084945789,-404007975,1803224962,147,79,229864,18,64,2211,7.9596,7.53806724,2507,0,,44,147
1084945798,-404010071,1803225702,145,79,231895,18,0,2221,7.9956,7.50412727,2503,0,,32,145
1084945802,-404011021,1803226084,145,77,232827,18,0,2221,7.9956,7.50412727,2503,0,,32,145
1084945812,-404013057,1803227028,145,76,234854,18,64,2183,7.8588,7.634753397,2501,0,,32,145
1084945814,-404013473,1803227216,145,76,235268,18,64,2174,7.8264,7.666360012,2503,0,,32,145
1084945822,-404015238,1803227864,142,78,236984,18,64,2146,7.7256,7.766387077,2504,0,,32,142
1084945825,-404015932,1803228099,142,79,237655,18,64,2146,7.7256,7.766387077,2508,0,,32,142
1084945827,-404016341,1803228277,143,79,238060,18,64,2146,7.7256,7.766387077,2511,0,,57,143
1084945831,-404017182,1803228565,143,78,238874,18,0,2146,7.7256,7.766387077,2506,0,,57,143
1084945833,-404017617,1803228769,143,79,239308,18,0,2146,7.7256,7.766387077,2504,0,,57,143
1084945842,-404019538,1803230026,144,79,241348,18,64,2137,7.6932,7.799095305,2502,0,,57,144
1084945843,-404019749,1803230180,145,79,241578,18,64,2137,7.6932,7.799095305,2502,0,,57,145
1084945852,-404021551,1803231631,146,78,243596,18,0,2165,7.794,7.698229407,2503,894,,57,146
1084945860,-404023062,1803232899,145,77,245310,18,0,2165,7.794,7.698229407,2501,0,,108,145
1084945863,-404023586,1803233330,145,75,245900,18,64,2155,7.758,7.733952049,2502,0,,147,145
1084945869,-404024604,1803234377,142,78,247152,18,0,2146,7.7256,7.766387077,2502,0,,108,142
1084945873,-404025099,1803235257,140,78,247977,18,0,2137,7.6932,7.799095305,2502,0,,72,140
1084945883,-404026077,1803237612,141,79,250021,18,0,2127,7.6572,7.83576242,2502,888,,57,141
1084945884,-404026207,1803237847,141,78,250239,18,0,2127,7.6572,7.83576242,2502,888,,57,141
1084945894,-404027077,1803240437,142,78,252405,18,0,2127,7.6572,7.83576242,2500,0,,25,142
1084945896,-404027242,1803240936,141,78,252821,18,64,2127,7.6572,7.83576242,2501,0,,32,141
1084945906,-404028281,1803243310,139,79,254910,18,64,2118,7.6248,7.869058861,2500,0,,32,139
1084945908,-404028502,1803243839,139,78,255369,18,0,2118,7.6248,7.869058861,2499,0,,32,139
1084945917,-404029408,1803246248,139,78,257420,18,64,2127,7.6572,7.83576242,2499,,,32,139
1084945925,-404030184,1803248061,142,79,259003,18,64,2127,7.6572,7.83576242,2499,0,,32,142
1084945927,-404030401,1803248537,142,79,259424,18,64,2127,7.6572,7.83576242,2499,0,,32,142
